scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
79,1548.9087,828.1037,0.8345844,1191.461,807.22815,0.8177501,1101.3364,800.1628,0.8981853,761.8029,732.50867,0.92001224,562.07513,707.6151,0.90133244
80,1521.1705,815.7906,0.7255851,1191.0918,808.7785,0.85032547,1102.357,801.3415,0.8847368,762.2022,733.5941,0.92798555,561.92975,708.83606,0.92480785
81,1494.8998,807.34,0.69261837,1190.7921,808.68225,0.84324485,1103.5126,802.1655,0.87879854,762.119,734.8825,0.9209136,562.0782,709.5837,0.8947893
82,1487.4724,802.5174,0.76010144,1190.1318,807.1023,0.83381796,1102.6998,801.0528,0.86519676,762.36414,733.7645,0.8923511,561.67224,708.9323,0.9172779
83,1491.0857,797.8102,0.72534806,1185.2384,802.5533,0.76088357,1096.0656,795.8879,0.81216383,757.0889,730.3042,0.98865265,559.0113,708.2388,1.0
84,1512.3663,803.4504,0.7441414,1180.4696,801.7038,0.7715328,1092.3406,795.32715,0.9162928,753.5612,731.42816,0.91893476,556.1886,710.1113,1.0
85,1537.0316,817.9651,0.85685366,1182.2594,802.8133,0.7853837,1092.4785,796.4923,0.9098697,753.4012,732.8789,0.90499383,555.99286,711.3035,0.9605066
86,1553.8602,833.88324,0.93055,1186.1361,805.6323,0.7730655,1093.7615,797.7065,0.8522148,754.30084,734.125,0.93837327,555.88904,711.8069,0.9754839
87,1550.3749,843.33453,0.8901645,1185.3878,805.06134,0.7465298,1093.8916,797.75507,0.8508871,754.6268,734.26776,0.90538543,557.38074,711.83405,0.9672458
88,1532.0059,848.1648,0.88452774,1183.025,803.94305,0.74537474,1093.7974,796.8016,0.86724705,755.00507,732.5837,0.90893674,557.74677,710.2171,0.9949529
89,1506.4246,851.2776,0.8674796,1187.0726,807.19293,0.8317341,1095.8407,797.4169,0.79921263,757.4302,732.33777,0.92676795,559.26685,709.3255,0.97257406
90,1489.0597,854.41016,0.8349013,1189.5421,808.3216,0.87451077,1099.5936,800.22626,0.887408,760.79724,732.316,0.916237,561.378,708.1312,0.90817493
91,1477.4117,853.9724,0.8189149,1189.15,808.1378,0.8816143,1099.5675,799.71423,0.88785076,761.2201,731.5559,0.90736985,561.99854,707.0587,0.8534671
92,1480.4824,850.8165,0.8790579,1186.2013,805.422,0.8016717,1095.4164,796.0958,0.83411586,757.6643,729.33527,0.98975307,560.277,705.38574,0.8463056
93,1489.3728,852.2484,0.9126759,1177.0796,807.21875,0.83118886,1087.3683,799.0937,0.841195,750.9473,731.53253,0.8891484,557.65845,707.3359,1.0
94,1520.1499,858.59344,0.8767113,1181.6083,811.8397,0.7960061,1094.3225,802.68,0.90400237,757.025,733.41656,0.9195479,561.2149,707.96545,0.8922023
95,1553.4323,854.4933,0.8064797,1194.0311,809.75336,0.8059125,1105.3313,800.6963,0.85095453,765.50055,729.76245,0.91992223,567.0699,702.00604,0.85426086
