scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z
179,-9.411276,-2.1211803,21.75626,-8.140448,-2.7171803,22.408875,-7.394809,-3.3468175,23.426533,-6.218764,-4.5833426,25.419514
180,-9.3087,-2.077865,21.807125,-8.117674,-2.7283676,22.410961,-7.389354,-3.3604023,23.457481,-6.2077055,-4.6145916,25.42669
181,-9.145353,-2.0473044,21.690193,-8.117674,-2.7283676,22.410961,-7.3863335,-3.3606865,23.455515,-6.2063527,-4.6149244,25.425322
182,-8.997869,-2.0047243,21.58611,-8.127635,-2.7348802,22.454124,-7.3887167,-3.3655589,23.474173,-6.204627,-4.624077,25.432325
183,-8.830239,-1.9892235,21.580294,-8.122658,-2.7360227,22.45099,-7.3887167,-3.3655589,23.474173,-6.203414,-4.6255293,25.427639
184,-8.646479,-1.9946756,21.530598,-8.114408,-2.7312899,22.45835,-7.387579,-3.367772,23.46849,-6.2029495,-4.627715,25.420591
185,-8.452882,-2.0143476,21.47936,-8.10721,-2.7553356,22.561127,-7.394671,-3.396807,23.535631,-6.230547,-4.6606607,25.502821
186,-8.39434,-2.047947,21.59968,-8.060309,-2.775097,22.515413,-7.4077506,-3.4132106,23.607576,-6.250629,-4.6730924,25.568548
187,-8.292785,-2.0814803,21.530407,,,,-7.4099383,-3.4333403,23.621141,-6.260435,-4.6949987,25.583712
188,,,,,,,-7.4086895,-3.4654348,23.631815,-6.2743316,-4.722457,25.621214
189,,,,,,,-7.4193826,-3.479186,23.664017,-6.2863584,-4.7365055,25.661324
190,,,,,,,-7.423857,-3.4929032,23.685734,-6.298645,-4.7548656,25.688
191,,,,,,,-7.425054,-3.5086708,23.70828,-6.3074107,-4.769035,25.723322
192,,,,,,,-7.425054,-3.5086708,23.70828,-6.3062754,-4.769424,25.722027
193,,,,,,,-7.4246283,-3.5086389,23.708082,-6.3062754,-4.769424,25.722027
194,,,,,,,-7.425676,-3.4945085,23.713125,-6.2968907,-4.7549467,25.696198
195,,,,,,,-7.4281125,-3.4911003,23.718527,-6.287204,-4.753807,25.690336
196,,,,,,,-7.424405,-3.4903948,23.717304,-6.284216,-4.752331,25.689827
